Part,Description,Quantity,Unit Price (Est.),Total (Est.),Search Terms,Where to Buy
Seeed XIAO ESP32C3,Microcontroller with USB-C WiFi BLE,1,$4.99,$4.99,Seeed XIAO ESP32C3,Seeed Studio / Amazon
WS2812B LED Ring 12,37mm RGB LED ring 12 LEDs 5V,1,$2.00,$2.00,WS2812B ring 12 LED 37mm,AliExpress / Amazon
Coin Vibration Motor,10mm pancake motor 3V,1,$1.00,$1.00,coin vibration motor 10mm 1027,AliExpress / Amazon
TTP223 Touch Module,Capacitive touch sensor module,1,$0.50,$0.50,TTP223 capacitive touch module,AliExpress / Amazon
2N2222A Transistor,NPN TO-92 package,1,$0.10,$0.10,2N2222 transistor TO-92,Amazon / AliExpress
1N4007 Diode,Rectifier diode DO-41,1,$0.05,$0.05,1N4007 diode,Amazon / AliExpress
1K Resistor,1/4W through-hole,1,$0.02,$0.02,1K ohm resistor 1/4W,Amazon / AliExpress
Female Headers 1x7,2.54mm pitch,2,$0.20,$0.40,female pin header 2.54mm,Amazon / AliExpress
JST-XH Connector Kit,2.54mm 2-pin and 3-pin,1,$2.00,$2.00,JST XH connector kit 2.54mm,Amazon / AliExpress
PCB Fabrication,50mm round PCB 5pcs,1,$2.00,$2.00,JLCPCB gerber upload,JLCPCB.com
PLA Filament,White ~50g for case,1,$1.50,$1.50,PLA filament white,Amazon / local
Shipping,Combined estimate,1,$4.00,$4.00,-,Various
,,,TOTAL:,$18.56,,
